Date,Time,VRATE,PBLH,WIND_SPEED(GUST),PRATE,Temp,pixelID,lat,lon,u10,v10,u20,v20,u30,v30,u40,v40,u50,v50,u80,v80,u100,v100,file
2023-01-02,18,500,0,1.5027039,0,297.8384,A,13.75,100.5,-0.9054077,-1.0335864,-1.1368628,-1.1994946,-1.2581787,-1.3512646,-1.4016747,-0.40822753,-0.42577636,-0.45656005,-0.45824218,-0.4668286,-0.44683105,-0.42962158,gfs.0p25.2023010218.f000.grib2
2023-01-02,18,500,0,3.702704,0,294.43842,B,13.75,100.75,-2.4954078,-2.7335863,-2.9568627,-3.1194947,-3.2481787,-3.4612646,-3.511675,-0.61822754,-0.7257764,-0.80656004,-0.8782422,-0.9568286,-1.136831,-1.2396216,gfs.0p25.2023010218.f000.grib2
2023-01-02,18,400,0,2.9027038,0,294.8384,C,14,100.5,-0.19540772,-0.3135864,-0.3968628,-0.47949463,-0.54817873,-0.7712647,-0.8516748,-2.1982276,-2.4157763,-2.65656,-2.798242,-2.8868287,-3.0568311,-3.0696216,gfs.0p25.2023010218.f000.grib2
2023-01-02,18,300,0,3.1027038,0,293.1384,D,13.75,100.25,0.13459228,0.0064135743,-0.06686279,-0.17949463,-0.30817872,-0.71126467,-0.9716748,-2.2182276,-2.4357765,-2.65656,-2.8382423,-3.0068285,-3.3068311,-3.3496215,gfs.0p25.2023010218.f000.grib2
2023-01-03,0,200,0,0.80264235,0,296.15533,A,13.75,100.5,0.4207617,0.38516358,0.39545655,0.38925537,0.3751245,0.34435546,0.31003174,-0.6413037,-0.71571535,-0.7889746,-0.82573974,-0.8430542,-0.86896974,-0.8776416,gfs.0p25.2023010300.f000.grib2
2023-01-03,0,100,0,1.5026424,0,293.55536,B,13.75,100.75,-1.3792382,-1.4348364,-1.5245434,-1.5407447,-1.5548755,-1.5056446,-1.4399682,0.1586963,0.13428468,0.11102539,0.09426025,0.0869458,0.051030274,0.022358399,gfs.0p25.2023010300.f000.grib2
2023-01-03,0,200,0,2.1026423,0,293.95535,C,14,100.5,-0.6592383,-0.7948364,-0.91454345,-1.0007446,-1.0948755,-1.2956445,-1.3899683,-1.4813037,-1.5857153,-1.6989746,-1.7757398,-1.8230542,-1.8789697,-1.8676416,gfs.0p25.2023010300.f000.grib2
2023-01-03,0,300,0,3.2026424,0,292.05536,D,13.75,100.25,1.2307618,1.2451636,1.3154565,1.3192554,1.2951245,1.1443554,0.97003174,-1.8513037,-2.0757153,-2.3089745,-2.5057397,-2.7030542,-3.1089697,-3.3076415,gfs.0p25.2023010300.f000.grib2
2023-01-03,6,3000,0,2.5,0,310.7334,A,13.75,100.5,-0.54999757,-0.5616724,-0.59875,-0.6152148,-0.64004153,-0.66824704,-0.6886621,-2.1972265,-1.9607714,-2.046123,-2.1029956,-2.125918,-2.1664894,-2.1816285,gfs.0p25.2023010306.f000.grib2
2023-01-03,6,4000,0,3,0,312.2334,B,13.75,100.75,-1.3599975,-1.2816724,-1.33875,-1.3852148,-1.4100415,-1.488247,-1.5186621,-1.7972265,-1.6007714,-1.656123,-1.7029957,-1.7259179,-1.7664893,-1.7916284,gfs.0p25.2023010306.f000.grib2
