Station Name,Location,station_id,Dcode,Dname,pixelID,Elat,ELlng
สถานีตรวจวัดคุณภาพฯ เขตสะพานสูง,ภายในสำนักงานเขตสะพานสูง,155,1044,สะพานสูง,B,13.76997438,100.6855693
สถานีตรวจวัดคุณภาพฯ เขตบึงกุ่ม,ภายในสำนักงานเขตบึงกุ่ม,156,1027,บึงกุ่ม,B,13.78542295,100.6694498
สถานีตรวจวัดคุณภาพฯ เขตคลองสามวา,บริเวณภายในสำนักงานเขตคลองสามวา,157,1046,คลองสามวา,B,13.85958136,100.7041511
สถานีตรวจวัดคุณภาพฯ เขตจอมทอง,บริเวณภายในสำนักงานเขตจอมทอง,158,1035,จอมทอง,A,13.67735083,100.4841255
สถานีตรวจวัดคุณภาพฯ เขตบางพลัด,บริเวณภายในสำนักงานเขตบางพลัด,159,1035,จอมทอง,A,13.79398006,100.5046434
สถานีตรวจวัดคุณภาพฯ เขตบางแค,ภายในสำนักงานเขตบางแค,160,1040,บางแค,A,13.69566832,100.4093251
สถานีตรวจวัดคุณภาพฯ เขตบางขุนเทียน (สถานี คพ.),ริมถนนกาญจนาภิเษก แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร,161,1021,บางขุนเทียน,A,13.63593931,100.4146362
สถานีตรวจวัดคุณภาพฯ สวนลุมพินี เขตปทุมวัน,ถนนพระราม 4 แขวงวังใหม่ เขตปทุมวัน,162,1007,ปทุมวัน,A,13.72878288,100.5406482
สถานีตรวจวัดคุณภาพฯ สวนวชิรเบญจทัศ เขตจตุจักร,ถนนกำแพงเพชร 3 แขวงลาดยาว เขตจตุจักร,163,1030,จตุจักร,A,13.81188018,100.5550669
สถานีตรวจวัดคุณภาพฯ สวนจตุจักร เขตจตุจักร,ถนนพหลโยธิน แขวงจตุจักร เขตจตุจักร,164,1030,จตุจักร,A,13.80779073,100.5556595
สถานีตรวจวัดคุณภาพฯ สวนหลวง ร.9 เขตประเวศ,ถนน เฉลิมพระเกียรติ ร. 9 เเขวง หนองบอน เขต ประเวศ,165,1032,ประเวศ,B,13.68724152,100.6630882
สถานีตรวจวัดคุณภาพฯ สวน60พรรษาสมเด็จพระบรมราชินีฯ,357/14 ถ. เคหะร่มเกล้า แขวงคลองสองต้นนุ่น เขตลาดกระบัง,166,1011,ลาดกระบัง,B,13.76324972,100.7324495
สถานีตรวจวัดคุณภาพฯ อุทยานเบญจสิริ เขตคลองเตย,ถ. สุขุมวิท แขวงคลองตัน เขตคลองเตย,167,1033,คลองเตย,A,13.73053085,100.5673908
สถานีตรวจวัดคุณภาพฯ สวนรมณีย์ทุ่งสีกัน เขตดอนเมือง,52/181 ถนน วัดเวฬุวนาราม เขตดอนเมือง,168,1026,ดินแดง,C,13.92915328,100.5678417
สถานีตรวจวัดคุณภาพฯ สวนธนบุรีรมย์ เขตทุ่งครุ,ถ.ประชาอุทิศ แขวงบางมด เขตทุ่งครุ,169,1049,ทุ่งครุ,A,13.65205982,100.491399
สถานีตรวจวัดคุณภาพฯ สวนเบญจกิติ เขตคลองเตย,ถ. รัชดาภิเษก แขวงคลองเตย เขตคลองเตย,170,1033,คลองเตย,A,13.72887247,100.5580595
สถานีตรวจวัดคุณภาพฯ สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ,200/1 ถ.กำแพงเพชร 2 แขวงจตุจักร เขตจตุจักร,171,1030,จตุจักร,A,13.80657583,100.5505181
สถานีตรวจวัดคุณภาพฯ สวนเฉลิมพระเกียรติ 80 พรรษา,ถนนบางขุนนนท์ แขวงบางขุนนนท์ เขตบางกอกน้อย,172,1020,บางกอกน้อย,A,13.7728635,100.4688191
สถานีตรวจวัดคุณภาพฯ สวนเสรีไทย เขตบึงกุ่ม,ซ. เสรีไทย 57 แขวงคลองกุ่ม เขตบึงกุ่ม,173,1027,บึงกุ่ม,B,13.78609584,100.6728486
สถานีตรวจวัดคุณภาพฯ สวนบางแคภิรมย์ เขตบางแค,ซอย บ้านคลองขวาง แขวงหลักสอง เขตบางแค,174,1040,บางแค,A,13.68175579,100.3853439
สถานีตรวจวัดคุณภาพฯ สวนทวีวนารมย์ เขตทวีวัฒนา,195/1 ซอย อุทยาน 7 แขวงทวีวัฒนา เขตทวีวัฒนา,175,1048,ทวีวัฒนา,D,13.74435749,100.3526325
สถานีตรวจวัดคุณภาพฯ สวนพระนคร เขตลาดกระบัง,ถนน ลาดกระบัง เเขวง ลาดกระบัง เขตลาดกระบัง,176,1011,ลาดกระบัง,B,13.71940099,100.7811631
สถานีตรวจวัดคุณภาพฯ สวนหนองจอก เขตหนองจอก,21/9 ถ. เลียบวารี แขวงกระทุ่มราย เขตหนองจอก,177,1003,หนองจอก,B,13.85293591,100.8596726
สถานีตรวจวัดคุณภาพฯ สวนกีฬารามอินทรา เขตบางเขน,"141, 5 ถ. รามอินทรา แขวงอนุสาวรีย์ เขตบางเขน",178,1005,บางเขน,A,13.87851828,100.6202373
สถานีตรวจวัดคุณภาพฯ สวนสาธารณะเฉลิมพระเกียรติ6รอบ,500 ถ. พระรามที่ 3 แขวงบางโคล่ เขตบางคอแหลม,179,1031,บางคอแหลม,A,13.68565402,100.5176159
สถานีตรวจวัดคุณภาพฯ สวนสันติภาพ เขตราชเทวี,ถ. ราชวิถี แขวงถนนพญาไท เขตราชเทวี,180,1037,ราชเทวี,A,13.76174808,100.5408082
สถานีตรวจวัดคุณภาพฯ สวนหลวงพระราม 8 เขตบางพลัด,ถ. อรุณอมรินทร์ แขวงบางยี่ขัน เขตบางพลัด,181,1025,บางพลัด,A,13.768864,100.4950218
สถานีตรวจวัดคุณภาพฯ เขตบางคอแหลม,ภายในสำนักงานเขตบางคอแหลม เครื่องตรวจวัด PM2.5 แบบเคลื่อนที่(3),182,1031,บางคอแหลม,A,13.69301498,100.5023256
สถานีตรวจวัดคุณภาพฯ เขตบางนา,ภายในสำนักงานเขตบางนา (เครื่องตรวจวัด PM2.5 แบบเคลื่อนที่),183,1047,บางนา,A,13.68120953,100.5920326
